state_code,state_name,report_date,idps,households,rank,hotspot,year,hotspot_intensity_rank,intensity_idps_minmax,intensity_idps_share,intensity_idps_global
SD04,West Darfur,2023-04-27,194593.0,38919.0,1.0,True,2023,1.0,1.0,0.5825213364346377,0.2614643335577224
SD03,South Darfur,2023-04-27,45000.0,9000.0,2.0,True,2023,0.8,0.2312518949808061,0.1347091629172616,0.060464122605116875
SD17,Northern,2023-04-27,29200.0,5840.0,3.0,True,2023,0.6,0.1500567851875452,0.0874112790485342,0.03923449733487584
SD01,Khartoum,2023-04-27,13545.0,2709.0,4.0,True,2023,0.4,0.0696068203892226,0.0405474580380957,0.01819970090414018
SD13,North Kordofan,2023-04-27,13270.0,2654.0,5.0,True,2023,0.2,0.0681936143643399,0.0397242353758236,0.017830197932664466
SD02,North Darfur,2023-04-27,11675.0,2335.0,6.0,False,2023,0.0,0.0599970194200202,0.0349495439346451,0.015687080698105323
SD15,Aj Jazirah,2023-04-27,8795.0,1759.0,7.0,False,2023,0.0,0.0451968981412486,0.0263281575079403,0.011817376851377842
SD09,White Nile,2023-04-27,6165.0,1233.0,8.0,False,2023,0.0,0.0316815096123704,0.0184551553196648,0.008283584796901012
SD14,Sennar,2023-04-27,5560.0,1112.0,9.0,False,2023,0.0,0.0285724563576284,0.0166440654626661,0.007470678259654441
SD16,River Nile,2023-04-27,2910.0,582.0,10.0,False,2023,0.0,0.0149542892087587,0.0087111925353162,0.003910013261797558
SD06,Central Darfur,2023-04-27,1780.0,356.0,11.0,False,2023,0.0,0.0091472971792407,0.0053284957776161,0.002391691960824623
SD10,Red Sea,2023-04-27,1205.0,241.0,12.0,False,2023,0.0,0.006192411854486,0.0036072120292288,0.0016190948386481296
SD08,Blue Nile,2023-04-27,260.0,52.0,13.0,False,2023,0.0,0.0013361220598891,0.0007783196079664,0.0003493482639406753
SD11,Kassala,2023-04-27,95.0,19.0,14.0,False,2023,0.0,0.0004881984449594,0.0002843860106031,0.00012764648105524675
SD07,South Kordofan,2023-04-27,0.0,0.0,15.0,False,2023,0.0,0.0,0.0,0.0
SD05,East Darfur,2023-04-27,0.0,0.0,16.0,False,2023,0.0,0.0,0.0,0.0
SD12,Gedaref,2023-04-27,0.0,0.0,17.0,False,2023,0.0,0.0,0.0,0.0
SD18,West Kordofan,2023-04-27,0.0,0.0,18.0,False,2023,0.0,0.0,0.0,0.0
SD09,White Nile,2023-05-05,188635.0,37727.0,1.0,True,2023,1.0,1.0,0.2562199224963088,0.25345888372480496
SD04,West Darfur,2023-05-05,156565.0,31041.0,2.0,True,2023,0.8,0.8299891324515599,0.2126597511895173,0.21036811901489164
SD17,Northern,2023-05-05,106600.0,24048.0,3.0,True,2023,0.6,0.5651125188856787,0.1447930857905824,0.14323278821567687
SD16,River Nile,2023-05-05,96095.0,19219.0,4.0,True,2023,0.4,0.5094229596840459,0.1305243112480865,0.12911777470530458
SD15,Aj Jazirah,2023-05-05,49280.0,9856.0,5.0,True,2023,0.2,0.2612452620139422,0.0669362407857401,0.066214932488448
SD03,South Darfur,2023-05-05,45000.0,9000.0,6.0,False,2023,0.0,0.2385559413682508,0.0611227848084072,0.060464122605116875
SD01,Khartoum,2023-05-05,22975.0,4595.0,7.0,False,2023,0.0,0.1217960611763458,0.031206577354959,0.030870293707834673
SD02,North Darfur,2023-05-05,22075.0,4415.0,8.0,False,2023,0.0,0.1170249423489808,0.0299841216587908,0.029661011255732336
SD14,Sennar,2023-05-05,20235.0,4047.0,9.0,False,2023,0.0,0.1072706549685901,0.0274848789021804,0.027188700464767557
SD13,North Kordofan,2023-05-05,16768.0,3252.0,10.0,False,2023,0.0,0.0888912449969517,0.0227757079037193,0.022530275729835552
SD10,Red Sea,2023-05-05,8895.0,1779.0,11.0,False,2023,0.0,0.0471545577437909,0.0120819371304618,0.011951741568278103
SD06,Central Darfur,2023-05-05,1780.0,356.0,12.0,False,2023,0.0,0.0094362127918997,0.0024177457101992,0.002391691960824623
SD08,Blue Nile,2023-05-05,715.0,143.0,13.0,False,2023,0.0,0.0037903888461844,0.0009711731364002,0.0009607077258368571
SD11,Kassala,2023-05-05,305.0,61.0,14.0,False,2023,0.0,0.0016168791581625,0.0004142766525903,0.0004098123865457922
SD12,Gedaref,2023-05-05,300.0,60.0,15.0,False,2023,0.0,0.001590372942455,0.000407485232056,0.00040309415070077917
SD05,East Darfur,2023-05-05,0.0,0.0,16.0,False,2023,0.0,0.0,0.0,0.0
SD07,South Kordofan,2023-05-05,0.0,0.0,17.0,False,2023,0.0,0.0,0.0,0.0
SD18,West Kordofan,2023-05-05,0.0,0.0,18.0,False,2023,0.0,0.0,0.0,0.0
SD01,Khartoum,2024-04-25,69057.0,13717.0,18.0,False,2024,0.0,0.0,0.0101751690336086,0.09278824254981236
SD02,North Darfur,2024-04-25,573055.0,114503.0,4.0,True,2024,0.4,0.7464580130512185,0.084436501593678,0.7699837284327834
SD03,South Darfur,2024-04-25,744243.0,148848.0,1.0,True,2024,1.0,1.0,0.1096601116046169,1.0
SD04,West Darfur,2024-04-25,174540.0,34908.0,14.0,False,2024,0.0,0.1562280616008033,0.0257175087699445,0.23452017687771332
SD05,East Darfur,2024-04-25,660140.0,131918.0,3.0,True,2024,0.6,0.8754372869105699,0.097267997246426,0.8869952421453745
SD06,Central Darfur,2024-04-25,430224.0,86044.0,8.0,False,2024,0.0,0.5349148234708658,0.0633911395269888,0.5780692596369734
SD07,South Kordofan,2024-04-25,198839.0,39492.0,13.0,False,2024,0.0,0.1922166632601979,0.0292978327392403,0.26716945943730747
SD08,Blue Nile,2024-04-25,147736.0,29836.0,17.0,False,2024,0.0,0.1165293711658713,0.0217680868318811,0.1985050581597677
SD09,White Nile,2024-04-25,532643.0,105920.0,5.0,True,2024,0.2,0.6866048762859419,0.0784820157198898,0.7156842590390504
SD10,Red Sea,2024-04-25,247874.0,49953.0,11.0,False,2024,0.0,0.2648410956388313,0.0365228702236807,0.33305519836934977
SD11,Kassala,2024-04-25,200083.0,40282.0,12.0,False,2024,0.0,0.194059118524377,0.0294811292953868,0.2688409565155467
SD12,Gedaref,2024-04-25,492293.0,97817.0,7.0,False,2024,0.0,0.6268435660692017,0.0725366652050092,0.6614680957697956
SD13,North Kordofan,2024-04-25,174007.0,34261.0,15.0,False,2024,0.0,0.1554386494980642,0.0256389741522386,0.23380401293663494
SD14,Sennar,2024-04-25,523986.0,104002.0,6.0,False,2024,0.0,0.6737832241782264,0.0772064543962883,0.7040523054969949
SD15,Aj Jazirah,2024-04-25,371177.0,73323.0,10.0,False,2024,0.0,0.4474618845769906,0.0546908889234657,0.498730925248877
SD16,River Nile,2024-04-25,698334.0,137799.0,2.0,True,2024,0.8,0.93200540295563,0.1028956730225189,0.9383145021182597
SD17,Northern,2024-04-25,399867.0,80305.0,9.0,False,2024,0.0,0.489953879375461,0.0589182025857191,0.5372801625275616
SD18,West Kordofan,2024-04-25,148718.0,29340.0,16.0,False,2024,0.0,0.1179837852088165,0.0219127791294179,0.19982451967972825
